Leetcode_completed,Project_1_score,Project_2_score,Project_3_score,Total_full_stack_projects,Years_of_experience,No_of_certifications,CGPA,Non_IT_student,Communication_Level,Salary
127,1.78,6.76,5.09,1,1.0,2,9.32,1,exceptional,842423
295,6.86,6.19,3.19,9,0.5,4,9.63,1,beginner,1500000
131,9.91,5.69,9.69,9,0.5,5,5.12,1,fluent,1153317
96,7.47,0.59,9.33,4,1.0,5,5.26,1,expert,875721
213,7.4,6.33,8.71,3,2.0,3,9.79,1,expert,1222012
45,9.5,7.69,4.22,0,0.5,5,6.39,1,fluent,739795
127,2.03,9.94,6.91,3,1.5,5,9.37,0,beginner,1076382
146,5.66,0.11,9.03,3,1.0,1,6.94,0,expert,806363
239,9.8,7.3,8.5,9,1.5,4,5.6,1,expert,1299985
112,1.65,5.72,4.14,3,0.5,4,5.4,0,exceptional,700635
124,7.0,4.34,1.12,0,2.0,4,5.78,1,exceptional,730899
176,5.86,1.28,0.76,8,1.5,4,6.25,1,beginner,862432
155,5.86,4.09,5.77,2,0.5,0,7.44,1,beginner,759379
174,6.98,3.54,6.43,3,0.5,4,8.51,1,exceptional,982102
333,9.3,3.03,8.5,4,0.5,3,9.93,0,exceptional,1270341
282,7.83,7.31,2.93,6,1.5,3,7.21,0,exceptional,1213045
318,0.56,7.01,1.67,5,0.5,0,7.59,1,fluent,907595
216,8.53,5.89,3.79,4,1.0,4,7.61,0,expert,1044204
301,2.26,9.39,3.54,7,0.5,2,7.7,0,beginner,1139421
185,3.77,3.5,1.32,0,1.0,4,7.59,1,beginner,717170
338,4.62,2.44,6.72,6,2.0,3,5.04,1,fluent,1124452
46,4.81,6.56,5.09,5,1.0,1,5.01,0,exceptional,726758
277,4.35,1.99,7.21,10,2.0,5,5.49,0,expert,1191042
260,9.37,3.15,3.53,4,2.0,1,5.51,1,exceptional,999877
73,7.06,2.25,3.26,6,1.0,2,8.52,1,beginner,856012
83,6.31,0.69,4.73,2,2.0,4,6.02,0,fluent,727244
194,0.5,8.27,8.77,0,1.0,0,9.47,1,expert,945624
212,9.04,2.55,0.4,8,1.5,4,9.64,1,expert,1157862
295,9.09,4.73,8.05,1,2.0,2,9.88,1,expert,1186493
214,7.8,0.43,3.69,9,1.0,2,9.7,0,expert,1119698
199,0.07,6.99,8.55,2,2.0,5,6.36,0,fluent,923190
75,0.57,3.31,8.02,7,0.5,2,7.55,1,beginner,809910
79,2.25,7.45,3.49,9,1.0,1,5.88,0,expert,891414
268,1.31,4.12,6.94,8,0.5,5,9.03,1,expert,1144956
344,3.99,1.96,1.6,2,2.0,4,9.44,0,beginner,1019638
155,9.23,5.13,8.96,5,2.0,4,9.26,0,exceptional,1233325
331,4.72,1.31,4.04,6,1.5,0,7.17,0,expert,1041454
159,0.13,4.41,4.56,0,1.0,2,8.79,1,expert,753604
45,2.83,3.17,7.06,6,0.5,2,5.49,1,exceptional,726584
191,0.45,9.12,8.21,3,1.5,3,5.2,1,beginner,924645
298,0.36,0.61,2.36,4,2.0,5,8.77,0,beginner,935398
113,2.76,6.94,6.61,7,2.0,3,7.13,1,expert,993708
340,2.76,1.83,3.92,3,1.5,5,9.98,1,beginner,1085437
38,7.87,3.19,3.69,3,0.5,1,5.49,1,exceptional,650711
266,9.75,4.16,6.9,7,2.0,5,9.28,1,fluent,1342981
289,3.71,9.08,3.87,4,2.0,4,7.4,0,exceptional,1155601
77,4.29,2.43,3.46,5,1.0,0,9.14,1,exceptional,777020
116,8.45,0.91,8.36,10,1.5,5,9.09,1,fluent,1172341
288,2.68,3.19,1.01,4,2.0,5,9.58,0,exceptional,1065858
59,1.56,1.05,6.76,0,0.5,5,6.49,1,expert,578696
230,8.53,1.29,2.49,6,1.0,0,9.75,0,expert,1075093
105,0.47,5.74,0.15,5,1.5,2,5.76,0,beginner,684671
74,6.2,0.61,1.67,1,0.5,0,5.41,0,beginner,486359
26,5.62,0.31,6.07,10,2.0,2,7.16,1,exceptional,964056
78,3.46,7.14,7.09,6,1.5,4,9.14,0,expert,1072469
130,3.15,3.62,0.21,5,1.5,0,7.37,0,expert,747635
284,7.72,1.25,0.36,4,0.5,2,9.15,0,fluent,975212
334,0.86,2.54,9.03,7,1.5,4,8.65,1,beginner,1205353
215,2.37,6.42,0.73,4,0.5,4,6.05,0,expert,814466
242,7.32,2.76,8.94,10,2.0,2,9.74,0,exceptional,1362665
68,5.48,4.95,2.28,1,1.0,2,5.3,0,expert,580292
186,1.28,1.22,7.4,5,0.5,1,9.49,1,beginner,899398
226,8.82,5.88,3.1,0,1.0,4,6.52,0,exceptional,929521
294,3.93,3.16,8.59,4,1.5,2,7.5,0,beginner,1075244
328,8.28,6.27,7.0,5,0.5,4,7.11,1,expert,1229095
295,7.88,8.08,4.02,6,2.0,0,5.86,1,expert,1127310
239,6.24,6.12,0.76,1,0.5,3,6.79,1,expert,787202
276,4.94,2.96,7.33,0,0.5,3,5.96,0,beginner,840777
214,9.8,2.56,6.17,5,0.5,5,6.02,0,exceptional,1060867
